mid,duplicate_of,title
7438,6874,Kill Bill: Vol. 2
7439,3150,Punisher: War Zone
7439,4636,Punisher: War Zone
7445,6683,Man on Fire
7446,7353,Clifford's Really Big Movie
7454,1482,Van Helsing
7456,5771,My Bloody Valentine
7480,647,Courage Under Fire
7486,4601,Chun gwong cha sit
7521,2741,No Mercy
7560,190,Fail-Safe
7567,3088,Last Chance Harvey
7573,5467,Never Say Never Again
7584,927,The Women
7625,430,Calendar Girls
7625,7155,Calendar Girls
7708,3968,Bedazzled
7713,1346,Cat People
7714,6916,Quest for Camelot
7727,4110,The Fourth Protocol
7728,3529,The Postman Always Rings Twice
7749,1091,Weekend at Bernie's
7770,6405,Treasure Island
7775,1189,The Thin Blue Line
7781,736,Twister
7789,4408,11'09''01 - September 11
7817,1774,Zardoz
7842,2021,Dune
7891,5132,The Last Man on Earth
7924,5408,Nora inu
7943,288,Natural Born Killers
7959,3617,Road Trip
7959,6342,Road Trip
8016,459,A Perfect Getaway
8016,5471,A Perfect Getaway
8063,6111,Paradise
8094,5828,Bad Day at Black Rock
8118,7704,Delta Force 2: The Colombian Connection
8119,5106,Crossroads
8127,4564,The First $20 Million Is Always the Hardest
8130,7346,The Girl Next Door
8132,3578,Gladiator
8147,5622,Charlie and the Chocolate Factory
8158,660,August Rush
8196,6646,Beyond the Valley of the Dolls
8208,2928,The Razor's Edge
8220,336,Incubo sulla città contaminata
8225,968,Night of the Living Dead
8228,913,The Maltese Falcon
8302,7093,The Front Page
8327,7987,Dolls
8332,5632,Bloody Sunday
8334,1952,Midnight Cowboy
8334,5393,Midnight Cowboy
8365,1414,The Mother
8373,2346,The Stepford Wives
8404,5383,The Hound of the Baskervilles
8424,907,The Gay Divorcee
8455,6268,Raising Victor Vargas
8456,6019,Indagine su un cittadino al di sopra di ogni sospetto
8480,6225,King of Kings
8521,7208,Dr. Jekyll and Mr. Hyde
8526,952,Around the World in 80 Days
8583,4338,Twelve O'Clock High
8597,6385,Whale Rider
8610,1509,Walk All Over Me
8634,327,Tank Girl
8636,5349,Spider-Man
8638,4548,Before Sunset
8640,3524,King Arthur
8642,1115,Sleepover
8654,1849,Prince Valiant
8662,3053,Joan of Arc
8668,4668,Some Girls
8679,1263,The Deer Hunter
8690,3026,Slaughterhouse-Five
8690,3027,Slaughterhouse-Five
8720,8464,Super Size Me
8723,2826,The 13th Warrior
8727,1628,The Day of the Locust
8731,4308,Moulin Rouge!
8768,7100,CrissCross
8778,4932,Dressed to Kill
8781,1082,The Manchurian Candidate
8781,1267,The Manchurian Candidate
8806,367,The Mask
8807,7411,Harold & Kumar Go to White Castle
8828,2551,Dead Ringers
8850,711,Flipper
8880,367,The Mask
8880,8806,The Mask
8891,4662,"See No Evil, Hear No Evil"
8912,8604,Taxi
8916,1066,Shall We Dance
8927,4396,The Cannonball Run
8929,421,Black Beauty
8939,7203,The Final Cut
8948,4191,Alfie
8952,1757,Duo luo tian shi
8966,1133,Kinsey
8966,2234,Kinsey
8994,3955,The Ladies Man
9002,8977,Alexander
9017,8341,Oliver Twist
25736,7208,Dr. Jekyll and Mr. Hyde
25736,8521,Dr. Jekyll and Mr. Hyde
25746,783,The Hunchback of Notre Dame
25746,7079,The Hunchback of Notre Dame
25752,6074,The Freshman
25752,6974,The Freshman
25755,1655,The Phantom of the Opera
25755,3936,The Phantom of the Opera
25757,5193,The Jazz Singer
25763,5511,Die Büchse der Pandora
25766,3797,The In Crowd
25777,5397,Monkey Business
25788,3184,Scarface
25788,4262,Scarface
25793,253,Interview with the Vampire: The Vampire Chronicles
25793,2328,Interview with the Vampire: The Vampire Chronicles
25793,4753,Interview with the Vampire: The Vampire Chronicles
25825,3732,Balls of Fury
25856,5035,Wuthering Heights
25856,7179,Wuthering Heights
25891,2779,Heaven Can Wait
25901,1224,Henry V
25923,1735,Great Expectations
25927,1434,The Strangers
25934,858,The Godfather
25946,552,The Three Musketeers
25962,4800,King Solomon's Mines
25962,7308,King Solomon's Mines
25971,1345,Carrie
25996,3217,A Star Is Born
26038,7174,Teacher's Pet
26085,1931,Mutiny on the Bounty
26113,2975,The Best Man
26117,288,Natural Born Killers
26117,7943,Natural Born Killers
26148,2186,Strangers on a Train
26152,592,Batman
26172,1500,Grosse Pointe Blank
26241,1645,The Devil's Advocate
26280,4034,Traffic
26303,5610,The Banger Sisters
26388,5383,The Hound of the Baskervilles
26388,8404,The Hound of the Baskervilles
26391,5956,Gangs of New York
26425,6374,The In-Laws
26462,145,Bad Boys
26491,946,To Be or Not to Be
26494,1454,SubUrbia
26498,7726,Boy Meets Girl
26504,6445,Cloak & Dagger
26577,281,Nobody's Fool
26606,5749,Sien nui yau wan
26614,5418,The Bourne Identity
26726,3527,Predator
26726,3697,Predator
26734,5966,A Kiss Before Dying
26819,7925,Kakushi-toride no san-akunin
26901,1408,The Last of the Mohicans
26982,1788,Men with Guns
27450,4651,Blueberry
27528,7802,The Warriors
27584,25835,Dead End
27706,6865,Lemony Snicket's A Series of Unfortunate Events
27727,2775,Gegen die Wand
27790,5468,20 Million Miles to Earth
27837,6448,Flight of the Phoenix
27851,5624,Ae Fond Kiss...
30793,5622,Charlie and the Chocolate Factory
30793,8147,Charlie and the Chocolate Factory
30810,6269,The Life Aquatic with Steve Zissou
30812,5332,The Aviator
30816,1655,The Phantom of the Opera
30816,3936,The Phantom of the Opera
30816,25755,The Phantom of the Opera
30949,1421,The Grateful Dead
31026,1655,The Phantom of the Opera
31026,3936,The Phantom of the Opera
31026,25755,The Phantom of the Opera
31026,30816,The Phantom of the Opera
31049,4900,Out Cold
31123,6824,Tais-toi!
31150,4683,The Wizard
31247,2936,Sullivan's Travels
31420,3726,Assault on Precinct 13
31424,5918,Alone in the Dark
31431,4827,Boogeyman
31485,293,Léon
31545,27338,The Hole
31555,7401,Mac and Me
31594,1629,The MatchMaker
31613,3201,Five Easy Pieces
31613,5778,Five Easy Pieces
31705,26965,Beautiful Boxer
31804,1355,Nochnoy dozor
31854,5231,Road to Morocco
31867,274,Man of the House
31923,552,The Three Musketeers
31923,25946,The Three Musketeers
32011,4096,Cursed
32031,8644,"I, Robot"
32109,6773,Les triplettes de Belleville
32116,5214,"Oh, God! You Devil"
32234,8943,Being Julia
32316,3109,Frozen River
32444,3222,U-Carmen e-Khayelitsha
32469,2264,We're No Angels
32596,5001,Sahara
32598,2962,Fever Pitch
32605,8851,Smile
32617,3807,Sinbad and the Eye of the Tiger
33085,1327,The Amityville Horror
33152,105,The Bridges of Madison County
33164,6629,House of Wax
33166,1483,Crash
33166,7112,Crash
33493,7032,Star Wars: Episode III - Revenge of the Sith
33495,72,Kicking & Screaming
33539,2722,Deep Blue Sea
33603,5245,Simon
33646,4220,The Longest Yard
33677,6863,The School of Rock
33679,2205,Mr. & Mrs. Smith
34048,2662,War of the Worlds
34162,26414,Wedding Crashers
34198,4377,Les poupées russes
34319,5192,The Island
34326,2494,Last Days
34538,3757,Asylum
36152,1972,A Nightmare on Elm Street: The Dream Child
36276,3576,Caché
36477,7742,The Baxter
36527,7020,Proof
36531,6145,Venom
37211,3133,Go West
37477,33832,Yes Man
37736,8341,Oliver Twist
37736,9017,Oliver Twist
37739,8706,The Greatest Game Ever Played
37855,26107,"The Prize Winner of Defiance, Ohio"
37955,4731,Innocence
39234,3110,North Country
39234,4607,North Country
39307,7815,Dreamer: Inspired by a True Story
39381,1820,The Proposition
39400,1128,The Fog
39429,2185,I Confess
39896,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
40629,7579,Pride & Prejudice
40870,6395,Movie Crazy
40870,7119,Movie Crazy
40962,26198,"Yours, Mine and Ours"
41136,111,Taxi Driver
41285,3748,Match Point
41569,2366,King Kong
41569,2367,King Kong
41585,259,Kiss of Death
42002,2300,The Producers
42011,6519,Fun with Dick and Jane
42013,2226,The Ring
42013,5679,The Ring
42602,3677,The Boys of Baraka
42738,4343,Underworld: Evolution
43836,6662,The Pink Panther
43853,5964,The Business
43904,4893,When a Stranger Calls
43917,5663,Eight Below
43921,2457,Running Scared
43921,5240,Running Scared
44004,5032,Failure to Launch
44189,6691,Ask the Dust
44191,34330,V for Vendetta
44199,3006,Inside Man
44397,5588,The Hills Have Eyes
44399,1016,The Shaggy Dog
44665,3975,Lucky Number Slevin
44731,5694,Stay Alive
44759,152,Basic Instinct 2
44828,26277,Slither
44929,4281,Candy
45062,8885,The Sentinel
45186,648,Mission: Impossible III
45501,2508,The Break-Up
45501,6024,The Break-Up
45662,1350,The Omen
45722,5435,Pirates of the Caribbean: Dead Man's Chest
45852,6736,See No Evil
46322,448,Huo Yuan Jia
47044,889,Miami Vice
47099,8131,The Pursuit of Happyness
47254,6056,Chaos
47644,5615,Invincible
47810,4754,The Wicker Man
47956,2737,The Assassination of Jesse James by the Coward Robert Ford
47970,7342,The Last Kiss
47976,1236,Trust the Man
48150,2714,The Wood
48326,1942,All the King's Men
48385,5888,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
48412,2982,The Guardian
48414,402,Open Season
48416,7818,School for Scoundrels
48520,31445,Employee of the Month
48593,137,Man of the Year
48774,1473,Children of Men
48791,6259,Flicka
49200,7370,A Foreign Affair
49205,6882,The Return
49265,26174,Shooting Dogs
49272,5796,Casino Royale
49278,2175,Deja Vu
49286,25850,The Holiday
49647,2137,Charlotte's Web
49961,4659,Notes on a Scandal
50003,4496,DOA: Dead or Alive
50003,4838,DOA: Dead or Alive
50003,7223,DOA: Dead or Alive
50068,25865,Letters from Iwo Jima
50147,5980,Black Christmas
50445,8501,The Hitcher
50872,4269,Ratatouille
50898,5763,Lola
51037,25762,Unknown
51255,4202,Hot Fuzz
51277,2258,Shao Lin san shi liu fang
51575,6557,Wild Hogs
51666,5677,Abandon
51937,5587,The Hills Have Eyes II
52328,3720,Sunshine
52435,3988,How the Grinch Stole Christmas
52579,771,La môme
52579,6735,La môme
52975,2926,Hairspray
53002,55,Georgia Rule
53125,4201,Pirates of the Caribbean: At World's End
53127,8902,Bug
53322,7285,Ocean's Thirteen
53450,3081,Sleepy Hollow
53464,53131,4: Rise of the Silver Surfer
53835,8755,Il mio viaggio in Italia
53883,2855,The Power of Nightmares: The Rise of the Politics of Fear
53972,45,Live Free or Die Hard
53993,6373,Evan Almighty
53996,4006,Transformers
54193,1519,Broken English
54510,5318,Joshua
54612,3428,Resurrecting the Champ
54732,3732,Balls of Fury
54732,25825,Balls of Fury
54775,340,War
54785,1982,Halloween
54796,559,2 Days in Paris
54881,2366,King Kong
54881,2367,King Kong
54881,41569,King Kong
54995,8903,Planet Terror
54997,5300,3:10 to Yuma
55020,1203,12 Angry Men
55116,4575,The Hunting Party
55116,4807,The Hunting Party
55118,5224,Eastern Promises
55205,27005,Interview
55247,25999,Into the Wild
55261,5118,The Heartbreak Kid
55267,4197,Dan in Real Life
55276,1409,Michael Clayton
55278,5120,Sleuth
55282,6815,30 Days of Night
55290,3280,Gone Baby Gone
55363,2737,The Assassination of Jesse James by the Coward Robert Ford
55363,47956,The Assassination of Jesse James by the Coward Robert Ford
55507,55274,Elizabeth: The Golden Age
55553,88,Black Sheep
55620,6255,For the Bible Tells Me So
55851,7839,Crazy Love
55854,457,The Fugitive
55872,660,August Rush
55872,8158,August Rush
55895,7523,The Desperate Hours
56141,5681,La faute à Fidel!
56152,6211,Enchanted
56152,6658,Enchanted
56775,8972,National Treasure: Book of Secrets
57353,3115,Flawless
57528,7787,Rambo
58162,7127,Run Fatboy Run
58295,6508,The Bank Job
58301,6975,Funny Games U.S.
59105,6760,Where in the World Is Osama Bin Laden?
59306,1987,Prom Night
59369,4780,Taken
59387,1574,The Fall
59501,32170,The Chronicles of Narnia: Prince Caspian
59590,5079,Young @ Heart
59604,7346,The Girl Next Door
59604,8130,The Girl Next Door
59615,37957,Indiana Jones and the Kingdom of the Crystal Skull
59727,1434,The Strangers
59727,25927,The Strangers
59995,703,Boy A
59995,4290,Boy A
60040,6534,The Incredible Hulk
60322,3709,Sleepwalking
60405,1625,The Game
60514,6239,Journey to the Center of the Earth
60524,660,August Rush
60524,8158,August Rush
60524,55872,August Rush
60688,27410,Conspiracy
60937,2638,The Mummy: Tomb of the Dragon Emperor
60943,3109,Frozen River
60943,32316,Frozen River
60948,7952,Bottle Shock
60950,417,Vicky Cristina Barcelona
61123,46062,High School Musical
61246,1411,Hamlet
61246,1941,Hamlet
61246,2820,Hamlet
61246,3598,Hamlet
61246,3723,Hamlet
61248,7991,Death Race
61289,5653,Sukiyaki Western Django
61323,5715,Burn After Reading
61354,8275,College
61361,927,The Women
61361,7584,The Women
61465,4868,Bangkok Dangerous
61931,1476,Private Parts
61961,3285,The Beach
61961,3379,The Beach
61961,4474,The Beach
61970,3779,Project Moon Base
61986,34299,Appaloosa
61991,7404,Miracle at St. Anna
62049,2117,Nineteen Eighty-Four
62299,5918,Alone in the Dark
62299,31424,Alone in the Dark
62374,4250,Body of Lies
62718,700,"Angus, Thongs and Perfect Snogging"
62764,6795,Black Moon Rising
62912,833,High School Musical 3: Senior Year
62972,6173,Into the West
63033,6955,Blindness
63062,4833,Changeling
63082,1872,Slumdog Millionaire
63119,2260,Filth and Wisdom
63121,6984,A Tale of Two Cities
63239,1022,Cinderella
63310,36529,Lord of War
63876,6050,Milk
63989,5374,The Devil-Doll
63992,1791,Twilight
64231,3150,Punisher: War Zone
64231,4636,Punisher: War Zone
64231,7439,Punisher: War Zone
64245,8986,The Bellboy
64280,5931,Britannia Hospital
64338,3604,Gypsy
64497,1253,The Day the Earth Stood Still
64519,122,Boomerang
64611,8870,The Forgotten
64839,7452,The Wrestler
64969,33832,Yes Man
64969,37477,Yes Man
64983,2323,Valkyrie
64997,2662,War of the Worlds
64997,34048,War of the Worlds
65006,6894,Impulse
65130,2603,Revolutionary Road
